lon,lat,no,val,err
102.26,28.735,51000700,21.850907,10.94126592
102.26,28.735,51000700,21.850907,10.94126592
102.18,28.446,51001100,-8.855949,12.52186088
102.178,28.257,51001300,-23.701436,13.03466148
102.186,28.144,51001500,-18.836029,13.46306429
102.324,27.32,51002300,-19.942595,15.99028768
102.284,27.194,51002400,-24.431539,16.30692184
102.252,27.105,51002500,-17.390247,16.5040904
102.245,26.651,51002900,22.296728,16.59055454
102.44,26.562,51003100,7.043822,16.94215158
102.602,26.658,51003300,-15.500913,17.20057266
102.626,26.704,51003400,-17.812332,17.39200966
102.727,26.793,51003600,-21.532083,17.49891425
102.846,26.942,51003900,-10.491614,17.52918994
102.877,26.965,51004000,-8.084944,17.47890443
102.517,27.442,51004400,3.011796,16.87324806
102.456,27.533,51004500,2.21894,16.51494475
102.428,27.625,51004600,10.838412,16.06320329
101.834,30.042,51006501,10.125684,9.063801631
101.77,30.069,51006601,13.633305,9.581737838
101.61,30.076,51006702,12.24247,9.926983429
101.54,30.034,51006800,2.523659,10.11273455
102.361,29.239,51011101,-19.28339,9.011132004
101.505,29.137,51015400,0.394798,11.98853619
101.53,30.289,51015703,5.85083,11.00202254
101.179,30.941,51016300,12.465945,13.32758418
100.729,31.337,51016600,23.430622,14.21486898
103.881,30.813,51030000,-17.958382,12.09580506
103.591,30.977,51030100,-2.976414,12.85561745
103.48,31.098,51030200,-0.548592,12.99849991
103.475,31.326,51030300,-4.908204,12.99849991
103.567,31.46,51030400,6.082484,12.83804113
103.789,31.629,51030500,-20.355439,13.27144679
104.099,31.779,51030600,16.718112,13.57958026
104.294,31.863,51030700,18.965337,13.75837927
104.503,31.86,51030800,-0.396966,13.81188257
104.685,31.679,51030900,-22.687238,13.74483176
104.726,31.44,51031000,13.803953,13.56603111
104.443,31.283,51031100,-10.799311,13.25313548
104.198,30.883,51031300,19.799444,12.21632105
103.886,30.444,51031400,11.499397,10.81338522
103.478,30.415,51031500,-3.874808,10.01882728
103.215,30.146,51031600,-20.07973,9.04098446
103.011,29.981,51031700,0.336912,7.788408053
102.908,30.091,51031800,11.430203,8.911930206
102.918,30.157,51031900,11.079624,9.742053172
102.783,30.335,51032000,22.621311,10.36264928
102.883,30.472,51032100,5.368197,10.80946345
102.758,30.663,51032200,-22.493088,11.09990991
102.637,30.966,51032300,-4.833858,11.24755084
102.406,31.019,51032400,-2.239422,11.25238197
102.479,31.287,51032500,-3.725839,11.76144974
102.489,31.485,51032600,-1.422905,12.11019405
102.324,31.661,51032700,20.834798,12.31610328
102.288,31.865,51032800,20.973666,12.38794575
102.629,31.865,51032900,-16.808317,12.68240119
102.78,31.663,51033000,-20.407146,12.89229615
102.907,31.532,51033100,-4.420267,12.99924998
103.091,31.4,51033200,-11.695204,13.03917175
103.337,31.571,51033300,12.182975,12.97212781
102.13,31.018,51033400,-2.447724,11.57876073
101.879,30.883,51033500,-13.12035,11.74874461
101.745,30.722,51033600,-21.961278,11.7759161
100.929,31.144,51033700,14.581297,13.71098829
100.693,31.522,51033800,-5.763805,14.40228454
100.729,31.874,51033900,-22.548,14.35560518
100.929,31.939,51034000,-9.575139,14.23810732
101.11,31.896,51034100,14.134408,14.0400463
101.312,31.778,51034200,22.549621,13.7574707
101.553,31.795,51034300,-8.026689,13.39910818
101.907,31.818,51034400,-14.642588,12.9426002
102.772,30.052,51034500,13.594779,6.902818265
102.453,30.005,51034600,-1.455539,5.511533362
102.158,30.053,51034700,-11.984045,5.928912211
101.956,30.027,51034800,2.083569,8.331632493
101.484,30.116,51034900,-4.687559,10.61985405
101.534,30.441,51035000,2.995587,11.40680499
102.198,29.655,51035100,20.390099,5.542165642
102.277,29.321,51035200,-21.49308,7.958291274
102.338,29.137,51035300,-20.185092,9.82865708
102.126,28.514,51035400,3.944563,11.58732497
101.923,28.325,51035500,12.82931,11.88252919
101.943,28.6,51035600,-6.161204,12.07974337
101.678,28.615,51035700,-17.566949,12.18394435
101.675,28.761,51035800,-23.43602,12.20755913
101.493,29.342,51035900,-1.336439,11.68693287
101.368,29.623,51036000,16.808214,11.23754867
101.558,29.846,51036100,-11.62278,10.74141518
103.17,29.911,51036200,14.631011,8.666314095
103.43,29.888,51036300,10.821101,9.295353678
103.577,29.778,51036400,-15.112578,9.719717074
103.454,29.572,51036500,4.721909,9.951813905
103.317,29.407,51036600,-17.402782,10.03243241
103.177,29.223,51036700,-20.903404,9.943083023
102.916,29.278,51036800,13.866819,9.858620593
102.632,29.349,51036900,17.171063,9.55083766
103.079,29.018,51037000,-4.008521,10.86290017
103.043,28.847,51037100,7.284874,11.64011168
103.127,28.602,51037200,17.249695,12.29692645
103.129,28.33,51037300,-18.002125,12.8468284
103.001,28.178,51037400,1.20011,13.30258997
102.837,28.015,51037500,2.50617,13.67848676
102.601,27.893,51037600,-13.60482,13.98257845
102.179,28.001,51037700,-1.343046,13.81092683
102.201,27.57,51037800,14.936018,14.9786014
102.188,27.427,51037900,-13.241463,15.55329226
101.928,26.537,51038000,-4.605009,16.92222799
101.677,26.557,51038100,-10.74572,17.12672765
101.591,26.596,51038200,-12.646504,17.18150459
101.569,26.718,51038300,-12.68537,17.1433544
101.443,26.958,51038400,2.847646,17.0257364
101.3,27.11,51038500,-18.880452,16.82753993
101.321,27.308,51038600,-21.605041,16.51867125
101.514,27.42,51038700,1.809818,16.11659083
101.808,27.615,51038800,-16.761103,15.60774487
101.961,27.719,51038900,-4.502803,14.99715306
102.596,27.262,51039000,16.189573,17.15974942
101.404,30.623,51039500,13.336163,12.13524619
101.551,30.356,51039800,10.1221,11.26021758
102.174,29.467,51052100,-6.716941,6.992002574
102.226,29.796,51052402,23.008556,2.969848481
102.173,30.117,51052602,-16.275934,7.341532538
104.065,30.639,51060002,10.999187,11.45258486
103.757,30.91,51060301,-17.992117,12.56509451
102.217,28.57,51065100,14.815048,11.19046022
102.203,28.549,51065300,10.060302,11.91611514
102.316,27.781,51067701,22.651725,14.86040713
102.341,27.741,51067900,20.255313,15.51327496
100.75,31.297,51068400,22.804838,13.99641383
101.5,30.537,51083800,1.026819,11.66514466
102.296,29.268,51085300,-24.631159,8.609256646
102.228,27.911,51087200,16.136766,14.083043
102.278,28.808,51087400,21.805331,10.54603717
102.101,27.882,51087900,12.154026,15.67375513
102.168,27.909,51088100,12.114288,14.90510315
102.22,27.902,51088200,17.665617,14.28815593
102.252,27.865,51088300,19.622465,14.43981302
102.324,27.88,51088500,18.902288,14.53323089
102.361,27.889,51088600,13.620964,14.49257051
102.38,27.878,51088700,14.688649,14.38962126
102.421,27.864,51088800,14.490334,14.21962376
102.714,27.022,51088900,5.154419,18.80118347
102.716,27.034,51089000,6.630499,18.15825157
102.738,27.064,51089100,10.694235,17.4930672
