lon,lat,no,val,err
102.26,28.735,51000700,-2.188795,10.72765119
102.26,28.735,51000700,-2.188795,10.72765119
102.18,28.446,51001100,-3.572391,12.35019838
102.178,28.257,51001300,8.553873,12.92942381
102.186,28.144,51001500,-19.820305,13.41030201
102.517,27.442,51004400,-34.614174,16.93550117
102.428,27.625,51004600,-44.83141,16.13026038
101.834,30.042,51006501,-11.110907,8.926779935
101.77,30.069,51006601,-3.762459,9.506061224
101.61,30.076,51006702,-6.441663,9.906856212
101.54,30.034,51006800,-27.106244,10.14294829
102.361,29.239,51011101,-10.753888,8.824613306
101.505,29.137,51015400,-19.92373,11.84483432
101.504,29.005,51015500,-4.739023,11.98575822
101.53,30.289,51015703,4.09271,10.95319588
103.881,30.813,51030000,-8.518884,12.5408652
103.591,30.977,51030100,29.306074,13.33478159
103.48,31.098,51030200,60.962909,13.36156054
103.475,31.326,51030300,41.291429,13.2641547
103.567,31.46,51030400,40.132693,13.05889735
103.789,31.629,51030500,14.917813,13.4615378
104.099,31.779,51030600,-8.403028,13.74432974
104.294,31.863,51030700,-3.698645,13.91310893
104.503,31.86,51030800,-6.496354,13.96647772
104.685,31.679,51030900,-38.822063,13.91426965
104.726,31.44,51031000,-44.273529,13.75545346
104.443,31.283,51031100,-35.788701,13.48289657
104.524,31.152,51031200,-10.257302,13.23741667
104.198,30.883,51031300,13.734375,12.58687014
103.886,30.444,51031400,19.791827,11.04794098
103.478,30.415,51031500,-5.424139,10.12780825
103.215,30.146,51031600,36.11455,9.136000219
103.011,29.981,51031700,24.393188,7.970307397
102.908,30.091,51031800,11.374732,8.997077303
102.918,30.157,51031900,11.523934,9.781390494
102.783,30.335,51032000,3.55836,10.42142505
102.883,30.472,51032100,12.6526,10.88777755
102.758,30.663,51032200,-26.783487,11.28831254
102.637,30.966,51032300,4.086119,11.86231849
102.406,31.019,51032400,-4.975795,11.82898981
102.479,31.287,51032500,8.173135,12.26318474
102.489,31.485,51032600,20.221842,12.55684674
102.324,31.661,51032700,23.865568,12.73057736
102.288,31.865,51032800,15.019328,12.79736301
102.629,31.865,51032900,21.643455,13.07426862
102.78,31.663,51033000,55.107875,13.27802696
102.907,31.532,51033100,13.933372,13.27589168
103.091,31.4,51033200,58.531051,13.25973227
103.337,31.571,51033300,66.714549,13.17269904
102.13,31.018,51033400,1.737229,11.97482776
101.879,30.883,51033500,10.578326,11.91655151
101.745,30.722,51033600,23.378528,11.83436521
101.553,31.795,51034300,46.236756,13.53094971
101.907,31.818,51034400,-1.062752,13.18000379
102.772,30.052,51034500,63.359819,6.954775338
102.453,30.005,51034600,25.130698,5.506114783
102.158,30.053,51034700,40.628556,5.767087653
101.956,30.027,51034800,16.097097,8.221642172
101.484,30.116,51034900,-26.189678,10.58038279
101.534,30.441,51035000,21.216183,11.38736142
102.198,29.655,51035100,5.442522,5.446833943
102.277,29.321,51035200,20.788562,7.728182192
102.338,29.137,51035300,4.171372,9.610957288
102.126,28.514,51035400,-15.915366,11.39412568
101.923,28.325,51035500,-0.845471,11.6706855
101.943,28.6,51035600,-13.349959,11.91006717
101.678,28.615,51035700,13.894932,12.0232192
101.675,28.761,51035800,-5.005737,12.05111198
101.493,29.342,51035900,39.525212,11.56316998
101.368,29.623,51036000,24.936375,11.1688182
101.558,29.846,51036100,-6.773513,10.7215857
103.17,29.911,51036200,13.170037,8.691173684
103.43,29.888,51036300,12.748904,9.189428709
103.577,29.778,51036400,-9.209457,9.55816405
103.454,29.572,51036500,24.145836,9.772256648
103.317,29.407,51036600,36.479868,9.875788576
103.177,29.223,51036700,38.722153,9.856535903
102.916,29.278,51036800,53.533718,9.715472196
103.079,29.018,51037000,44.698342,10.74896274
103.043,28.847,51037100,18.279669,11.47157356
103.127,28.602,51037200,39.533186,12.10623393
103.129,28.33,51037300,6.334542,12.71100704
103.001,28.178,51037400,-3.910354,13.25059999
102.837,28.015,51037500,31.258879,13.74083331
102.601,27.893,51037600,-19.546352,14.14250331
102.179,28.001,51037700,8.935633,13.85442168
101.591,26.596,51038200,-39.443892,17.80778481
101.569,26.718,51038300,-25.83015,17.83747179
101.443,26.958,51038400,-34.878385,17.4879387
101.3,27.11,51038500,-48.848428,17.21544655
101.321,27.308,51038600,-21.117765,16.80860791
101.514,27.42,51038700,-27.994273,16.24497769
101.808,27.615,51038800,13.028384,15.68171547
101.961,27.719,51038900,-12.545232,15.0616367
102.596,27.262,51039000,-51.627711,17.27044006
101.404,30.623,51039500,-11.753562,12.08223903
101.551,30.356,51039800,38.56843,11.2164522
102.174,29.467,51052100,16.32753,6.762721346
102.226,29.796,51052402,2.924382,2.969848481
102.173,30.117,51052602,58.085889,7.269731769
104.065,30.639,51060002,-10.434465,11.87422419
103.757,30.91,51060301,60.709919,12.96092975
102.217,28.57,51065100,-3.091533,11.0059075
102.203,28.549,51065300,-13.287719,11.72890873
102.316,27.781,51067701,-38.25237,14.96661952
101.5,30.537,51083800,4.501929,11.65545366
102.296,29.268,51085300,4.546039,8.394629235
102.228,27.911,51087200,-6.693809,14.21442929
102.278,28.808,51087400,-33.69345,10.32118695
102.101,27.882,51087900,-12.743218,15.69280727
102.168,27.909,51088100,-42.508597,14.97723606
102.22,27.902,51088200,-1.313387,14.39951735
102.252,27.865,51088300,-34.705843,14.55585793
102.294,27.887,51088400,-19.146715,14.64137972
102.324,27.88,51088500,-13.271762,14.70310511
102.361,27.889,51088600,-0.902398,14.69191955
102.38,27.878,51088700,-0.675855,14.62388457
102.421,27.864,51088800,8.39268,14.49927584
